      Plot replica #,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               sp1 a,               sp1 b,               sp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,               sm1 a,               sm1 b,               sm1 c,                GT a,                GT b,                GT c,                G2 a,                G2 b,                G2 c,
                   1,            0.942574,            6.444242,            0.518594,           10.149316,           -7.375885,            6.432342,           13.349548,           -5.801537,           -4.653060,           -6.063484,            2.134082,           13.596969,          -11.150064,           -0.954324,           21.893066,            0.731726,          -14.891924,            9.481355,            3.598140,            7.382861,           -8.834815,           -0.098122,           -3.159933,           -3.578314,
                   2,            0.474706,            5.277090,           -4.323244,            7.986972,          -13.295788,            9.650297,           15.635777,          -11.218306,          -12.503284,          -11.434907,           13.268348,           12.874028,            0.809350,           -5.878794,            0.740011,           -0.436131,           -2.248360,            4.392382,            2.845740,           -7.353179,            7.584345,           -1.953434,            1.194848,           -1.138651,
                   3,           -0.643214,           16.468170,           -7.854296,           13.717844,          -12.095367,            3.046222,           12.363997,            9.888964,          -23.999939,           -1.772914,           -2.426749,           11.564053,           -4.716735,           -0.007086,            6.945474,            5.120295,            3.929478,          -14.795873,            6.733505,           -7.651596,           -3.371405,           -2.057612,           -4.038486,            1.817515,
                   4,            0.666071,            3.648593,            0.234579,            6.851179,           -8.177826,            9.421742,            6.170635,            5.283121,           -6.471694,           -3.603670,            4.353085,            6.169432,           -9.219606,            6.840441,            9.269699,           -4.959324,           10.404786,            5.610095,            4.034468,          -10.434470,            2.374247,           -0.386536,           -1.308639,           -3.199513,
                   5,           -0.522254,            3.077569,           -5.968390,           10.641498,          -17.080002,            3.049074,            3.881391,            2.584985,           -8.810770,           -5.654579,            5.744624,            8.241832,           -9.379710,            6.987473,            9.595478,            5.043881,            1.378317,          -16.753942,            2.070789,           -2.020719,            1.581797,           -1.092619,            1.084306,            0.087732,
                   6,           -1.751875,           -2.648216,            2.656335,            6.121847,          -15.239058,            9.389529,            3.361515,           -7.782885,            2.664242,           -9.684380,            8.016788,           15.257797,           -2.060896,           11.146930,           -9.434967,            4.598116,          -12.268976,            0.890464,            4.866057,          -12.962669,           -2.373578,            0.528885,            2.541809,           -4.444554,
                   7,           -1.163848,            4.713774,           -4.680598,            2.820660,           -4.516004,            6.633754,            3.211825,            5.085753,           -8.617978,           -5.663760,           11.074381,            0.918216,           -5.603986,           -2.803562,           12.085182,            8.352949,          -10.485612,           -6.249041,            4.884388,           -4.868561,           -9.921745,            1.122503,           -1.746059,           -2.022127,
                   8,           -2.369287,            9.818453,           -6.875530,            9.192550,           -9.582173,            0.636459,            0.238708,           -0.632446,            4.713166,           -3.341771,            3.848046,            5.419145,            4.351592,           -5.407154,           -5.960400,            0.616030,            2.985380,           -6.080006,            0.513807,            4.071751,           -5.518533,            1.094652,           -2.886449,           -1.155538,
                   9,            1.583289,            9.221340,            3.420666,            7.586004,           -2.789769,           13.393525,           19.916835,           -4.958716,          -14.498972,           -8.968972,           13.225616,            6.410156,           -3.473728,            8.183292,           -7.877418,            2.327104,            0.365348,           -7.545721,            2.546589,            2.753899,            6.466121,           -1.600654,           -3.001202,           -4.173767,
                  10,           -0.702198,            6.049665,            1.279251,            6.856921,           -9.734656,           12.334959,           10.324897,           -2.149683,          -12.017198,           -7.652161,           -0.448324,           19.548212,           -8.191889,            2.521426,           12.052385,            5.676755,           -0.379135,           -7.620769,            1.338467,           -6.409100,            8.386072,           -0.389482,           -1.071205,           -3.426044,
                  11,            2.932669,            5.658827,            2.120776,            8.602391,           -3.665687,            9.294146,           17.030586,          -12.752382,           -3.009460,           -2.536605,           -1.211769,            9.583762,           -8.064607,            7.398152,            7.425599,            9.296390,          -12.915620,           -5.709310,            5.033930,           -4.402287,           -0.682849,           -1.082925,           -2.234337,           -4.610072,
                  12,           -0.838767,            8.077060,           -6.050032,            0.458425,            2.024074,            6.711269,           11.190193,           -2.433301,          -12.533261,           -9.847649,            9.416344,           14.340694,           -2.359791,           -7.927813,           16.497834,            2.891088,           -0.815259,           -5.249557,            2.534825,           -3.337592,           -1.008487,            0.124900,           -2.801132,           -0.434368,
                  13,           -3.364547,           12.349275,           -1.618610,            3.198931,            2.179214,            4.876485,            7.138558,            4.930195,          -11.702605,           -9.931436,            4.604837,           19.498706,           -8.313951,           -1.591605,           16.548774,            5.466389,           -0.665412,          -11.221407,           -1.996346,           -1.818865,            5.966075,            1.636920,           -5.600267,           -2.022384,
                  14,            1.058683,            1.096850,            0.330430,            4.715566,           -3.882037,            7.406655,            8.717201,           -2.367638,           -5.790884,            0.097536,           -3.964617,            8.961783,          -12.096929,           -7.589633,           26.435574,           -4.138311,            5.725578,            1.256963,            3.552220,           -6.412117,           -3.326097,            0.422375,           -1.564750,           -3.413027,
                  15,           -0.359823,            8.476349,           -1.592122,           11.119480,           -6.992131,            1.618739,            7.070640,            5.175302,           -7.972247,           -4.922483,            7.806709,            4.996877,          -14.244107,            3.523652,           22.670352,            1.953047,           -2.246565,            8.853791,            3.079394,            4.852909,           -4.910359,           -0.446268,           -3.203311,           -1.609660,
                  16,           -3.884620,            5.937694,           -1.416974,            2.416215,           -7.731988,            9.911841,           12.981787,          -14.955419,           -6.394166,           -8.974418,           10.844847,            9.616243,            3.848280,            4.160702,          -16.603856,            6.375976,          -10.252117,            0.372453,            3.703430,          -12.805717,            5.549630,           -0.455560,            1.324326,           -2.026068,
                  17,           -1.683938,            4.163658,           -3.981203,            0.559673,           -1.803700,            6.304875,           13.820234,           -2.827054,          -22.989506,           -7.879481,            6.453967,           11.544948,            0.299014,          -12.669826,            9.989545,            1.896623,          -10.606748,            5.447292,            4.238780,          -14.915096,            5.853015,           -1.312117,            0.436825,            0.900945,
                  18,            0.411346,            6.621225,           -5.048164,            7.658103,           -4.915147,            1.974494,            7.835698,            5.960085,          -14.306482,           -4.985906,           -1.264366,           16.820740,          -15.878638,           12.602325,           14.873781,           17.122367,          -17.033392,          -16.034124,            2.504912,           -2.106967,            4.683818,           -1.694679,           -1.360512,            0.718008,
                  19,           -4.990053,           16.254332,           -0.351474,            0.360810,            1.947398,           13.012758,            7.207049,            0.193776,           -1.743882,           -6.804888,            3.094013,           13.490058,          -12.648049,           15.097776,            4.913565,            6.174349,           -2.920322,           -6.429282,            2.840077,           -1.729316,           -8.545609,            2.972779,           -6.307972,           -5.151723,
                  20,            0.601936,           12.887650,           -2.241632,            7.109541,            1.584004,            5.208076,           16.617524,            8.130500,          -20.639406,           -2.798286,           -2.572503,           18.787262,           -3.633297,          -10.285744,           23.881593,            0.173284,           10.598001,            5.766942,            2.385865,           -8.686612,            7.765638,           -1.214725,           -5.268466,           -1.044835,
                  21,            0.290445,            4.020535,           -6.777648,            7.850716,          -13.933133,            7.268001,           12.734312,           -8.187361,          -13.388004,           -7.095401,            3.323945,           16.329297,           -8.564875,           12.338955,           -5.844481,           11.114901,          -20.089967,            5.530902,            4.020362,            0.021769,           -8.797142,           -0.359279,            0.075139,           -1.117989,
                  22,           -2.317278,            8.282995,           -0.305836,            1.496622,            1.843118,            7.610962,            1.780538,            9.287686,           -3.213011,           -5.429771,            1.016390,           13.457110,          -10.381135,            8.839829,           13.331704,            7.908844,           -6.230553,          -12.542927,            4.146705,           -9.806376,           -1.097559,            1.044739,           -3.901126,           -2.536211,
