      Plot replica #,up1 a,up1 b,up1 c,dp1 a,dp1 b,dp1 c,sp1 a,sp1 b,sp1 c,um1 a,um1 b,um1 c,dm1 a,dm1 b,dm1 c,sm1 a,sm1 b,sm1 c,                GT a,                GT b,                GT c,G2 a,G2 b,G2 c,
1,2.405961,-6.616641,-1.072672,3.194167,-5.498299,4.094624,4.623988,10.480523,-20.878005,-7.364236,11.738082,5.310186,-6.257836,3.432931,8.170067,6.186615,0.275678,-14.664549,-0.705529,-0.442165,4.578543,-0.109715,0.281666,-0.626036,
2,-1.920545,3.246033,1.446665,3.161593,-5.472617,9.513551,11.691210,-9.237874,-7.382264,-8.684862,8.667244,12.034800,-3.847326,1.550203,2.960696,9.423596,-3.904140,-16.501993,1.383846,-2.123400,3.626996,0.139191,0.024642,-3.435218,
3,-5.430726,4.128295,5.374825,4.416621,-3.531419,2.883268,4.917358,-2.110427,-5.546562,0.059937,2.114927,1.135853,0.392271,-7.631236,5.183462,12.591465,-3.843154,-23.112399,-0.113409,-0.100337,-0.702390,1.855633,-1.491577,-3.885989,
4,-2.878589,6.995411,-3.921845,7.152622,-3.184712,-3.166025,4.777783,2.570330,-10.549087,1.992601,0.589357,-1.634079,-9.457923,14.021334,1.146107,10.788028,-1.951438,-21.791156,3.137333,0.195977,-11.188646,1.173201,-3.258893,-0.268072,
5,-2.425939,2.359191,0.540397,4.632685,-4.463617,2.722816,-2.676369,1.148384,8.676090,-1.379403,4.367367,2.252745,-0.216324,4.098961,-9.377371,7.878221,0.743861,-18.401086,-0.803603,-0.068768,4.786837,1.068685,-1.069861,-2.815719,
6,-0.964348,-1.637983,-0.106902,0.996267,-3.141865,6.529702,-2.476310,-4.092698,10.322325,-1.972519,3.460942,4.263630,-2.952759,6.508437,-4.214706,4.626081,-0.323998,-9.676648,-4.178586,3.292550,4.695952,2.499136,-0.742771,-4.722466,
7,-0.790414,2.515484,-4.099211,5.006382,-7.679858,4.124379,6.780681,-6.537492,-4.292811,-1.518614,0.585753,5.432169,-6.339748,3.922700,8.419477,9.754374,-10.107079,-10.481127,-0.768691,0.585311,4.326326,-0.037173,0.308792,-1.403392,
8,0.170039,0.864404,-1.453340,4.153081,-8.465230,9.340452,-1.156115,4.090540,3.762219,-6.741082,9.539772,6.886563,-2.879611,8.794564,-6.308190,1.067111,4.714848,-8.307008,-2.377642,0.050036,9.559572,1.143339,-0.517976,-4.218065,
9,-1.155258,-0.103870,-8.230153,2.618546,-4.095935,-2.909684,-0.207661,3.706106,-10.417900,-1.452607,0.235043,6.666789,-0.493540,0.697985,-1.720359,6.817672,-1.396492,-13.129590,0.391345,-1.678211,-5.020817,0.799121,-0.508230,1.874290,
10,-2.691788,2.105743,0.730275,4.326812,-9.650124,8.629572,3.397566,-0.059951,-4.687911,-2.976192,4.087288,4.783334,0.157577,-8.136948,6.200639,8.289841,-7.213967,-10.551293,-1.434786,0.618622,3.286646,1.179411,-0.166385,-3.523370,
11,-1.984114,-1.329539,4.978398,-2.490906,-0.143397,13.365274,0.138659,16.296973,-15.892281,-2.978192,3.787873,5.648451,4.989838,-18.104962,9.287618,8.929790,-3.441697,-15.308297,-0.097796,-0.028397,-1.492293,2.349900,-2.006086,-4.571694,
12,-0.431777,-0.914428,-2.853277,6.598115,-8.726276,0.241418,1.943557,9.042938,-15.770147,-3.566273,2.642991,9.058886,-1.741467,-4.242022,7.649000,4.268502,1.798195,-11.609960,-0.933951,-0.659327,5.728313,-0.461903,0.487471,0.347839,
